Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2020-21,Real Madrid,5,17,3.4,7/13,53.8,1/4,25,0/0,0,25,4,2,6,"GARUBA, USMAN"
2020-21,Anadolu Efes Istanbul,2,1,0.5,0/0,0,0/1,0,1/2,50,1,0,3,0,"GAZI, ERTEN"
2019-20,Zalgiris Kaunas,20,71,3.5,29/44,65.9,0/0,0,13/17,76.5,37,6,7,5,"GEBEN, MARTINAS"
2020-21,Zalgiris Kaunas,4,16,4,7/15,46.7,0/0,0,2/3,66.7,16,3,1,2,"GEBEN, MARTINAS"
2019-20,Anadolu Efes Istanbul,9,3,0.3,0/6,0,1/10,10,0/0,0,5,0,6,0,"GECIM, TOLGA"
2020-21,Anadolu Efes Istanbul,1,0,0,0/2,0,0/1,0,0/0,0,2,0,1,0,"GECIM, TOLGA"
2019-20,FC Bayern Munich,1,0,0,0/0,0,0/1,0,0/0,0,0,0,0,0,"GEORGE, JASON"
2019-20,ALBA Berlin,25,344,13.8,63/115,54.8,51/128,39.8,65/77,84.4,99,35,36,2,"GIEDRAITIS, ROKAS"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,58,19.3,10/18,55.6,9/19,47.4,11/13,84.6,12,7,3,1,"GIEDRAITIS, ROKAS"
2014-15,ALBA Berlin,24,117,4.9,28/58,48.3,19/48,39.6,4/10,40,56,11,5,3,"GIFFEY, NIELS"
2019-20,ALBA Berlin,28,246,8.8,55/112,49.1,32/67,47.8,40/47,85.1,63,23,35,8,"GIFFEY, NIELS"
2020-21,ALBA Berlin,4,30,7.5,8/16,50,4/7,57.1,2/2,100,10,4,4,1,"GIFFEY, NIELS"
2013-14,Unicaja Malaga,24,181,7.5,57/128,44.5,12/41,29.3,31/36,86.1,51,14,82,0,"GRANGER, JAYSON"
2014-15,Unicaja Malaga,23,235,10.2,62/141,44,18/57,31.6,57/75,76,63,20,96,6,"GRANGER, JAYSON"
2015-16,Anadolu Efes Istanbul,23,235,10.2,60/134,44.8,28/89,31.5,31/45,68.9,71,16,90,1,"GRANGER, JAYSON"
